               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061327,            0.012902,           0.0097162,             0.76895,             0.45426,             0.51861,             0.26961,            0.055491,           0.0082049,           0.0077467,            0.009307,            0.009307,            0.009307
                  37,            0.057316,            0.014989,            0.010255,             0.44886,             0.76118,             0.60691,             0.26649,            0.062226,            0.007804,           0.0073611,           0.0092872,           0.0092872,           0.0092872
                  38,            0.057498,            0.014174,            0.010328,             0.65064,             0.55195,              0.6258,             0.30452,            0.058039,           0.0079461,           0.0075217,           0.0092674,           0.0092674,           0.0092674
                  39,            0.056823,            0.014112,             0.01002,              0.6796,             0.53224,             0.65055,             0.23657,            0.058789,           0.0078524,           0.0069294,           0.0092476,           0.0092476,           0.0092476
                  40,            0.058594,            0.013048,           0.0095339,             0.69627,             0.66667,             0.74467,             0.37005,            0.052492,           0.0080552,           0.0066853,           0.0092278,           0.0092278,           0.0092278
                  41,            0.052798,             0.01217,            0.009011,             0.73079,             0.66667,             0.71087,             0.44427,            0.053133,           0.0075904,           0.0066862,            0.009208,            0.009208,            0.009208
                  42,            0.052742,             0.01187,           0.0093942,             0.70702,             0.58614,             0.63278,             0.24715,            0.064799,           0.0069886,           0.0060474,           0.0091882,           0.0091882,           0.0091882
                  43,            0.060204,             0.01182,           0.0088724,             0.64842,             0.59524,             0.68581,             0.35029,            0.056418,           0.0071313,            0.006232,           0.0091684,           0.0091684,           0.0091684
                  44,            0.052772,            0.012814,            0.008473,             0.86844,             0.66089,             0.82583,             0.44345,             0.04951,           0.0073483,           0.0061307,           0.0091486,           0.0091486,           0.0091486
                  45,            0.053548,            0.012496,           0.0094174,             0.43988,             0.90318,             0.82363,              0.3456,             0.04872,           0.0072066,           0.0064106,           0.0091288,           0.0091288,           0.0091288
                  46,            0.048409,            0.014315,           0.0091838,             0.79447,             0.66667,             0.67038,             0.38153,            0.051675,           0.0070765,           0.0061298,            0.009109,            0.009109,            0.009109
                  47,            0.055469,            0.012135,           0.0073608,             0.54643,                   1,             0.93494,              0.4774,            0.049357,           0.0070566,           0.0062412,           0.0090892,           0.0090892,           0.0090892
                  48,            0.048384,            0.012138,           0.0083598,             0.72757,             0.59835,             0.55558,             0.30611,            0.060907,           0.0064912,           0.0058274,           0.0090694,           0.0090694,           0.0090694
                  49,            0.059972,            0.010778,           0.0074319,             0.59335,                   1,             0.85938,             0.40672,            0.047191,           0.0069385,           0.0058447,           0.0090496,           0.0090496,           0.0090496
                  50,            0.042774,            0.010702,           0.0074279,             0.73243,              0.4879,             0.71872,             0.33738,             0.05595,           0.0066604,           0.0055286,           0.0090298,           0.0090298,           0.0090298
                  51,             0.05548,            0.011272,           0.0075677,              0.6061,                   1,             0.95407,             0.44547,             0.04216,           0.0070189,            0.005568,             0.00901,             0.00901,             0.00901
                  52,            0.046118,            0.010221,           0.0083828,             0.35374,              0.7451,             0.75495,             0.39906,            0.050047,           0.0065341,           0.0055144,           0.0089902,           0.0089902,           0.0089902
                  53,             0.04914,            0.010789,           0.0089873,             0.69532,                   1,             0.96208,              0.4685,            0.050789,            0.006499,           0.0054873,           0.0089704,           0.0089704,           0.0089704
                  54,              0.0477,            0.012781,           0.0079317,             0.83685,             0.66667,             0.81496,             0.48111,            0.048319,           0.0064789,           0.0053249,           0.0089506,           0.0089506,           0.0089506
                  55,            0.047781,             0.01004,           0.0079271,             0.53941,             0.98039,             0.93558,             0.49157,            0.042928,           0.0065665,           0.0053322,           0.0089308,           0.0089308,           0.0089308
                  56,            0.044755,            0.010782,           0.0069564,             0.53922,             0.84314,              0.8515,             0.36004,            0.041802,           0.0065872,           0.0051808,            0.008911,            0.008911,            0.008911
                  57,             0.04289,            0.010435,           0.0077525,             0.44564,             0.90286,             0.77834,             0.51492,            0.046415,           0.0062133,           0.0051358,           0.0088912,           0.0088912,           0.0088912
                  58,            0.047914,            0.009768,           0.0071977,              0.6595,             0.84314,              0.9685,             0.58203,            0.042428,           0.0061822,           0.0050033,           0.0088714,           0.0088714,           0.0088714
                  59,            0.042141,            0.011447,           0.0064967,              0.6203,             0.82019,             0.85467,             0.39424,            0.043521,           0.0061574,           0.0051245,           0.0088516,           0.0088516,           0.0088516
                  60,            0.042896,            0.010752,           0.0078025,              0.5838,             0.80392,             0.80725,             0.43776,            0.044423,           0.0061203,           0.0051829,           0.0088318,           0.0088318,           0.0088318
                  61,            0.050973,            0.009634,           0.0073742,             0.66497,              0.9044,              0.9098,             0.46335,            0.041203,           0.0059065,           0.0052902,            0.008812,            0.008812,            0.008812
                  62,            0.037979,            0.010452,           0.0065312,             0.60708,             0.84314,             0.90842,             0.49627,            0.046797,           0.0057815,           0.0052415,           0.0087922,           0.0087922,           0.0087922
                  63,            0.046321,           0.0097248,           0.0069274,             0.60534,             0.81814,             0.89753,             0.42725,            0.041392,           0.0056658,           0.0052487,           0.0087724,           0.0087724,           0.0087724
                  64,            0.039757,           0.0092841,           0.0080538,             0.52852,             0.86149,             0.80358,             0.50839,             0.04095,           0.0056918,           0.0051031,           0.0087526,           0.0087526,           0.0087526
                  65,            0.046984,            0.010067,           0.0067849,             0.51456,              0.8268,             0.80095,             0.40056,            0.045501,           0.0053718,           0.0049218,           0.0087328,           0.0087328,           0.0087328
                  66,            0.045654,           0.0082185,           0.0063934,             0.70664,             0.92157,              0.8936,             0.60262,            0.036337,           0.0056176,           0.0048615,            0.008713,            0.008713,            0.008713
                  67,            0.039765,            0.009069,           0.0060409,             0.59584,             0.99225,              0.8377,             0.41344,            0.045668,           0.0052394,           0.0048211,           0.0086932,           0.0086932,           0.0086932
                  68,            0.044905,             0.00867,           0.0063953,             0.59904,             0.84314,             0.75142,             0.51568,            0.043112,           0.0052722,           0.0049541,           0.0086734,           0.0086734,           0.0086734
                  69,            0.043031,           0.0099853,           0.0067152,             0.88367,                   1,               0.995,             0.58896,            0.036563,           0.0050916,            0.004953,           0.0086536,           0.0086536,           0.0086536
                  70,            0.039701,           0.0076574,           0.0058595,             0.53845,             0.85642,             0.74694,             0.31168,             0.04956,           0.0050434,           0.0048859,           0.0086338,           0.0086338,           0.0086338
                  71,            0.049222,           0.0086449,           0.0060391,              0.7792,             0.99831,              0.9023,             0.53748,            0.031764,           0.0050421,           0.0049869,            0.008614,            0.008614,            0.008614
                  72,              0.0363,           0.0091695,           0.0068794,             0.69917,             0.98039,             0.96585,             0.62281,            0.043548,           0.0046698,           0.0046988,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043856,             0.01088,           0.0067438,             0.95154,             0.85333,             0.97347,             0.65147,            0.035057,           0.0047189,           0.0046022,           0.0085744,           0.0085744,           0.0085744
                  74,            0.037661,           0.0080854,           0.0068285,             0.64685,             0.81001,             0.73652,             0.42373,            0.038412,           0.0046861,           0.0044958,           0.0085546,           0.0085546,           0.0085546
                  75,            0.041219,           0.0083926,           0.0058959,             0.88024,             0.81283,             0.91572,              0.5538,             0.03425,           0.0046285,           0.0043296,           0.0085348,           0.0085348,           0.0085348
                  76,            0.038399,           0.0078268,           0.0052748,             0.84038,             0.77362,             0.89912,             0.63414,            0.036773,           0.0045427,           0.0043099,            0.008515,            0.008515,            0.008515
                  77,            0.041317,           0.0085983,           0.0066828,             0.87344,             0.99688,             0.97214,             0.54832,            0.038221,           0.0044403,           0.0042762,           0.0084952,           0.0084952,           0.0084952
                  78,            0.038468,           0.0077476,           0.0054809,             0.62858,             0.98039,             0.93373,             0.67064,            0.040277,           0.0044668,           0.0043367,           0.0084754,           0.0084754,           0.0084754
                  79,            0.039638,           0.0077944,           0.0051775,             0.80829,             0.82219,             0.90187,             0.56865,             0.03858,           0.0044909,           0.0044141,           0.0084556,           0.0084556,           0.0084556
                  80,            0.042633,           0.0085204,           0.0060132,             0.66333,             0.98872,             0.87197,             0.54907,            0.036244,           0.0044872,           0.0044773,           0.0084358,           0.0084358,           0.0084358
                  81,              0.0369,           0.0066689,           0.0061428,             0.72103,             0.99202,             0.95988,             0.68771,            0.028549,           0.0046516,           0.0046139,            0.008416,            0.008416,            0.008416
                  82,            0.033607,           0.0099794,           0.0054196,             0.68433,             0.98039,             0.88435,             0.53113,            0.036155,            0.004501,            0.004625,           0.0083962,           0.0083962,           0.0083962
                  83,            0.037007,           0.0089477,           0.0053726,             0.67767,             0.98039,             0.94311,             0.60842,            0.037377,            0.004399,           0.0044754,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03798,           0.0074062,           0.0064962,              0.7912,             0.98039,             0.94769,              0.6143,            0.035916,           0.0042626,           0.0044268,           0.0083566,           0.0083566,           0.0083566
                  85,            0.037394,           0.0075542,           0.0055739,             0.67057,             0.92719,             0.89013,             0.51706,            0.040753,            0.004122,           0.0045115,           0.0083368,           0.0083368,           0.0083368
                  86,            0.041658,           0.0065595,            0.006132,              0.9374,              0.9877,             0.99407,             0.69795,            0.032996,           0.0041435,           0.0045265,            0.008317,            0.008317,            0.008317
                  87,            0.035876,           0.0085283,           0.0057684,             0.68902,             0.96078,             0.95199,             0.54112,            0.034556,           0.0041452,           0.0045106,           0.0082972,           0.0082972,           0.0082972
                  88,            0.038414,           0.0073203,           0.0061643,             0.83049,             0.96942,             0.96687,             0.70193,            0.031949,           0.0041439,           0.0045182,           0.0082774,           0.0082774,           0.0082774
                  89,            0.034583,           0.0081369,           0.0054556,              0.5501,             0.98039,             0.87365,             0.56886,            0.038079,           0.0041267,           0.0043315,           0.0082576,           0.0082576,           0.0082576
                  90,            0.039295,           0.0071117,           0.0055503,              0.9024,             0.98039,             0.98331,              0.6434,            0.030908,           0.0040826,           0.0044222,           0.0082378,           0.0082378,           0.0082378
                  91,            0.030493,           0.0073421,            0.005562,             0.80631,             0.98039,             0.95035,             0.57679,            0.034283,           0.0041083,            0.004332,            0.008218,            0.008218,            0.008218
                  92,            0.036383,           0.0080148,           0.0056574,             0.88315,             0.98039,             0.97916,             0.67719,            0.031615,           0.0039847,            0.004286,           0.0081982,           0.0081982,           0.0081982
                  93,            0.034532,           0.0071436,           0.0048239,             0.82608,             0.98586,             0.98232,             0.67369,            0.034862,           0.0039817,           0.0042222,           0.0081784,           0.0081784,           0.0081784
                  94,            0.035273,           0.0082649,            0.005828,             0.76387,             0.91599,             0.97218,             0.63597,            0.033075,           0.0039208,           0.0041665,           0.0081586,           0.0081586,           0.0081586
                  95,            0.036299,           0.0071115,           0.0048804,             0.78952,             0.99087,             0.97946,             0.65529,            0.031406,           0.0040152,           0.0041259,           0.0081388,           0.0081388,           0.0081388
                  96,            0.034405,           0.0078581,           0.0053791,             0.77023,               0.958,             0.86731,             0.51289,            0.036086,           0.0038828,           0.0040704,            0.008119,            0.008119,            0.008119
                  97,            0.037397,           0.0071163,           0.0054298,             0.79226,             0.98257,             0.96487,             0.72075,            0.030041,           0.0038698,           0.0041101,           0.0080992,           0.0080992,           0.0080992
                  98,            0.033453,           0.0073038,           0.0049379,             0.71648,             0.98039,             0.92368,             0.47133,            0.040208,           0.0038662,           0.0040281,           0.0080794,           0.0080794,           0.0080794
                  99,             0.03602,           0.0063958,           0.0056075,             0.89213,                   1,             0.98092,             0.70839,            0.032681,           0.0038577,           0.0041472,           0.0080596,           0.0080596,           0.0080596
                 100,            0.036885,           0.0071222,           0.0048953,             0.96833,                   1,             0.99407,             0.62513,            0.031382,           0.0038408,           0.0041453,           0.0080398,           0.0080398,           0.0080398
                 101,            0.032347,           0.0077091,           0.0052335,             0.75281,                   1,             0.95398,             0.60248,             0.03117,            0.003878,           0.0042515,             0.00802,             0.00802,             0.00802
                 102,            0.036889,           0.0065553,           0.0047115,             0.81847,                   1,             0.95043,             0.66179,            0.034679,           0.0037483,           0.0043544,           0.0080002,           0.0080002,           0.0080002
                 103,            0.037995,           0.0079908,           0.0052335,              0.8537,                   1,              0.9329,             0.62924,            0.028925,           0.0038448,           0.0044066,           0.0079804,           0.0079804,           0.0079804
                 104,            0.037817,           0.0063382,           0.0053537,             0.87756,                   1,             0.98214,             0.61606,            0.033278,            0.003745,           0.0044582,           0.0079606,           0.0079606,           0.0079606
                 105,             0.03122,           0.0070645,           0.0050551,             0.90137,                   1,             0.96944,             0.69425,             0.03579,           0.0036648,           0.0043959,           0.0079408,           0.0079408,           0.0079408
                 106,            0.038656,           0.0063885,           0.0050781,             0.96042,                   1,               0.995,             0.63414,            0.027246,             0.00371,           0.0044513,            0.007921,            0.007921,            0.007921
                 107,            0.031742,           0.0078206,           0.0053079,             0.92425,                   1,               0.995,             0.67626,            0.030133,           0.0035988,           0.0043559,           0.0079012,           0.0079012,           0.0079012
                 108,            0.035655,           0.0078115,           0.0052911,             0.96222,                   1,               0.995,             0.66844,            0.030711,           0.0035738,           0.0044032,           0.0078814,           0.0078814,           0.0078814
                 109,            0.034294,           0.0070115,           0.0049886,             0.84861,                   1,             0.91483,             0.62325,            0.026253,           0.0036081,           0.0043107,           0.0078616,           0.0078616,           0.0078616
                 110,            0.031119,           0.0058674,           0.0053216,             0.89002,                   1,              0.9835,             0.60963,            0.034958,           0.0035665,           0.0042073,           0.0078418,           0.0078418,           0.0078418
                 111,            0.034707,           0.0062632,           0.0045591,             0.91052,                   1,               0.995,             0.66308,            0.030051,            0.003501,           0.0041515,            0.007822,            0.007822,            0.007822
                 112,            0.032224,           0.0067394,           0.0056352,             0.95993,                   1,               0.995,               0.675,            0.028899,           0.0035177,           0.0041628,           0.0078022,           0.0078022,           0.0078022
                 113,            0.032268,           0.0071903,           0.0049022,             0.81884,             0.92157,              0.8859,             0.63462,            0.032674,           0.0035274,           0.0040593,           0.0077824,           0.0077824,           0.0077824
                 114,            0.033237,           0.0075901,            0.004785,             0.88432,                   1,             0.94389,             0.64571,            0.025988,           0.0034811,            0.004066,           0.0077626,           0.0077626,           0.0077626
                 115,            0.033478,           0.0065113,           0.0047309,             0.92362,                   1,               0.995,             0.62344,            0.035972,           0.0034774,             0.00407,           0.0077428,           0.0077428,           0.0077428
                 116,            0.035829,           0.0067761,           0.0048813,             0.96876,                   1,               0.995,             0.74967,            0.024725,           0.0033797,           0.0041442,            0.007723,            0.007723,            0.007723
                 117,            0.032138,           0.0067775,            0.004605,             0.96513,                   1,               0.995,             0.68414,            0.029105,           0.0033928,           0.0040896,           0.0077032,           0.0077032,           0.0077032
